# ========== 原有常用 + 品牌 ==========
nihao 你好
pian 片
pian 偏
piao 票
pin 品
ping 平
ping 评
po 破
pu 普
qi 期
qi 其
qi 奇
qi 气
qi 汽
qi 器
qian 前
qian 钱
qian 浅
qiang 强
qiang 墙
qie 且
qin 亲
qing 青
qing 清
qing 情
qing 请
qiu 秋
qiu 求
qu 取
quan 全
quan 权
que 却
que 确
ran 然
rao 绕
ren 人
ren 认
ren 任
reng 仍
rong 容
ru 如
ru 入
ruan 软
sai 赛
san 散
sao 扫
se 色
sen 森
sha 杀
sha 沙
shan 山
shan 善
shang 尚
shao 绍
she 设
she 社
she 射
shen 身
shen 深
shen 什
shen 神
shen 甚
sheng 生
sheng 声
sheng 省
sheng 胜
shi 师
shi 失
shi 时
shi 识
shi 实
shi 食
shi 史
shi 使
shi 始
shi 士
shi 世
shi 市
shi 示
shi 式
shi 事
shi 势
shi 适
shi 室
shi 视
shi 试
shou 收
shou 手
shou 首
shou 守
shou 受
shou 售
shou 瘦
shu 书
shu 叔
shu 舒
shu 输
shu 熟
shu 属
shu 数
shu 术
shu 束
shua 刷
shui 水
shui 谁
shun 顺
si 思
si 司
si 私
si 斯
si 死
song 松
su 苏
su 诉
su 速
suan 酸
suan 算
sui 虽
sui 随
sui 岁
sun 孙
suo 所
suo 锁
ta 他
ta 她
ta 它
tai 太
tai 态
tan 谈
tan 弹
tan 叹
tang 汤
tang 躺
tao 讨
tao 套
te 特
teng 疼
ti 提
ti 题
ti 体
ti 替
tian 田
tian 甜
tiao 调
tie 铁
ting 厅
ting 停
ting 挺
tong 通
tong 同
tong 统
tong 痛
tou 投
tu 突
tu 图
tu 土
tu 吐
tuan 团
tui 推
tui 腿
tui 退
tuo 脱
wai 外
wan 完
wan 晚
wang 王
wang 往
wang 网
wang 忘
wang 望
wei 危
wei 威
wei 微
wei 为
wei 围
wei 唯
wei 伟
wei 委
wei 卫
wei 未
wei 位
wei 味
wei 胃
wen 温
wen 文
wen 闻
wen 稳
wo 我
wo 握
wu 无
wu 午
wu 武
wu 舞
wu 务
wu 物
xi 西
xi 希
xi 息
xi 习
xi 席
xi 喜
xi 系
xia 夏
xian 先
xian 显
xian 险
xian 现
xian 线
xian 县
xiang 相
xiang 香
xiang 箱
xiang 想
xiang 响
xiang 向
xiang 象
xiao 消
xiao 晓
xiao 校
xiao 笑
xie 歇
xie 协
xie 谢
xin 心
xin 信
xing 兴
xing 星
xing 行
xing 形
xing 幸
xing 性
xiong 兄
xiu 休
xiu 秀
xu 须
xu 需
xu 虚
xu 许
xu 续
xuan 宣
xuan 选
xue 学
xue 血
xun 寻
xun 训
ya 压
ya 牙
ya 雅
ya 亚
yan 烟
yan 言
yan 颜
yan 眼
yan 演
yan 验
yang 阳
yang 洋
yang 养
yang 样
yao 要
yao 腰
yao 邀
yao 摇
yao 药
ye 爷
ye 野
ye 业
ye 叶
ye 页
ye 夜
yi 衣
yi 医
yi 依
yi 移
yi 疑
yi 已
yi 以
yi 亦
yi 亿
yi 艺
yi 忆
yi 议
yi 意
yi 义
yin 因
yin 阴
yin 音
yin 银
yin 引
yin 印
ying 应
ying 英
ying 迎
ying 影
ying 硬
yong 永
you 优
you 由
you 邮
you 油
you 游
you 友
you 右
you 幼
yu 于
yu 余
yu 娱
yu 语
yu 育
yu 预
yu 遇
yuan 园
yuan 原
yuan 员
yuan 圆
yuan 远
yuan 院
yuan 愿
yue 乐
yue 越
yun 云
yun 运
zai 灾
zai 载
zan 咱
zan 暂
zang 脏
zao 早
zao 造
ze 则
zei 贼
zen 怎
zeng 增
zha 扎
zha 炸
zhai 摘
zhai 宅
zhan 战
zhang 章
zhang 长
zhang 掌
zhang 账
zhao 招
zhao 照
zhe 折
zhe 者
zhe 这
zhen 针
zhen 阵
zheng 正
zheng 证
zheng 政
zhi 之
zhi 知
zhi 织
zhi 执
zhi 值
zhi 职
zhi 止
zhi 指
zhi 至
zhi 志
zhi 制
zhi 治
zhi 质
zhi 致
zhong 中
zhong 钟
zhong 终
zhong 种
zhong 众
zhou 州
zhou 轴
zhou 皱
zhu 朱
zhu 珠
zhu 诸
zhu 逐
zhu 主
zhu 住
zhu 助
zhu 注
zhua 抓
zhuan 专
zhuan 转
zhuang 装
zhuang 壮
zhuang 状
zhui 追
zhun 准
zhuo 桌
zi 资
zi 子
zi 自
zi 字
zong 总
zong 纵
zou 奏
zu 租
zu 足
zu 族
zu 组
zu 祖
zuan 钻
zui 最
zui 罪
zun 尊
zuo 昨
zuo 左
zuo 作
zuo 座

# ========== 单字母拼音快捷候选（a-z 重复字 + 常用字） ==========
a 啊啊啊啊啊
a 阿
a 爱
a 安
a 按
a 暗
a 案
a 岸
a 昂
a 奥
b 吧吧吧吧吧
b 把
b 吧
b 爸
b 白
b 百
b 班
b 般
b 版
b 办
b 半
c 擦擦擦擦擦
c 才
c 材
c 财
c 采
c 彩
c 菜
c 参
c 餐
c 藏
c 操
d 的的的的的
d 大
d 打
d 带
d 单
d 但
d 当
d 党
d 到
d 道
d 得
e 额额额额额
e 恶
e 而
e 儿
e 耳
e 二
e 尔
e 恩
e 嗯
f 发发发发发
f 发
f 法
f 凡
f 反
f 饭
f 方
f 房
f 放
f 非
f 飞
g 哥哥哥哥哥
g 改
g 干
g 赶
g 感
g 刚
g 高
g 搞
g 告
g 哥
g 歌
h 哈哈哈哈哈
h 还
h 孩
h 海
h 害
h 含
h 寒
h 喊
h 汉
h 好
h 号
i 一一一一一
i 一
i 以
i 意
i 因
i 应
i 业
i 已
i 义
i 亦
i 亿
j 就就就就就
j 及
j 级
j 极
j 几
j 己
j 计
j 记
j 技
j 家
j 加
k 可可可可可
k 卡
k 开
k 看
k 康
k 考
k 科
k 可
k 克
k 刻
k 客
l 了了了了了
l 拉
l 来
l 兰
l 蓝
l 览
l 老
l 乐
l 了
l 雷
l 累
m 吗吗吗吗吗
m 妈
m 吗
m 马
m 买
m 满
m 慢
m 忙
m 毛
m 么
m 没
n 呢呢呢呢呢
n 那
n 呢
n 内
n 能
n 你
n 年
n 念
n 娘
n 鸟
n 牛
o 哦哦哦哦哦
o 噢
o 喔
o 欧
o 偶
o 呕
o 藕
o 怄
o 区
p 啪啪啪啪啪
p 爬
p 怕
p 拍
p 排
p 牌
p 派
p 攀
p 盘
p 判
p 旁
q 七七七七七
q 七
q 其
q 奇
q 起
q 气
q 汽
q 前
q 钱
q 强
q 亲
r 人人人人人
r 然
r 让
r 人
r 认
r 任
r 日
r 容
r 如
r 入
r 软
s 四四四四四
s 撒
s 洒
s 三
s 散
s 色
s 山
s 上
s 少
s 社
s 设
t 他他他他他
t 他
t 她
t 它
t 太
t 谈
t 特
t 提
t 体
t 天
t 条
u 五五五五五
u 无
u 五
u 物
u 务
u 武
u 误
u 吴
u 屋
u 舞
u 污
v 微微微微微
v 绿
v 女
v 吕
v 律
v 旅
v 屡
v 虑
v 驴
v 缕
v 侣
w 我我我我我
w 挖
w 外
w 完
w 玩
w 晚
w 万
w 王
w 往
w 网
w 忘
x 小小小小小
x 西
x 习
x 席
x 洗
x 喜
x 系
x 下
x 先
x 现
x 相
y 有有有有有
y 呀
y 亚
y 言
y 颜
y 眼
y 演
y 验
y 阳
y 样
y 要
z 在在在在在
z 在
z 再
z 咱
z 早
z 怎
z 增
z 扎
z 摘
z 找
z 这

# ========== 补充单字/词（按拼音） ==========
ai 哀
ai 埃
ai 挨
ai 碍
ai 艾
an 鞍
an 氨
an 俺
an 岸
ang 昂
ang 盎
ao 凹
ao 熬
ao 袄
ao 傲
ao 奥
ba 叭
ba 扒
ba 疤
ba 拔
ba 靶
ba 坝
ba 霸
bai 掰
bai 柏
bai 摆
bai 败
bai 拜
ban 颁
ban 扳
ban 搬
ban 绊
ban 瓣
bang 邦
bang 膀
bang 绑
bang 傍
bang 谤
bao 苞
bao 胞
bao 雹
bao 饱
bao 抱
bao 鲍
bei 卑
bei 碑
bei 悲
bei 辈
bei 贝
bei 钡
ben 奔
ben 苯
ben 笨
beng 崩
beng 绷
beng 泵
beng 蹦
bi 逼
bi 鼻
bi 鄙
bi 币
bi 庇
bi 毙
bi 痹
bian 蝙
bian 鞭
bian 贬
bian 匾
bian 辨
bian 辩
biao 彪
biao 镖
biao 飙
bie 瘪
bie 鳖
bin 滨
bin 彬
bin 缤
bin 濒
bing 秉
bing 柄
bing 饼
bo 拨
bo 钵
bo 脖
bo 渤
bo 箔
bu 捕
bu 哺
bu 埠
ca 拆
cai 裁
cai 踩
cai 睬
can 蚕
can 惭
can 惨
can 灿
cang 仓
cang 舱
cao 嘈
ce 厕
ce 恻
ceng 蹭
cha 叉
cha 茬
cha 察
cha 岔
chai 柴
chai 豺
chan 搀
chan 蝉
chan 潺
chan 铲
chan 颤
chang 猖
chang 尝
chang 偿
chang 敞
chang 怅
chang 畅
chao 抄
chao 钞
chao 巢
chao 嘲
che 扯
che 澈
chen 臣
chen 辰
chen 尘
chen 忱
chen 衬
cheng 撑
cheng 澄
cheng 橙
cheng 逞
cheng 秤
chi 痴
chi 驰
chi 耻
chi 侈
chi 炽
chong 宠
chong 铳
chou 仇
chou 绸
chou 畴
chou 稠
chou 愁
chu 橱
chu 锄
chu 雏
chu 础
chu 储
chu 矗
chuan 川
chuan 喘
chuan 串
chuang 疮
chuang 闯
chuang 怆
chui 炊
chui 捶
chui 锤
chun 淳
chun 醇
chun 蠢
chuo 戳
chuo 绰
ci 疵
ci 磁
ci 雌
ci 辞
ci 慈
ci 瓷
cong 葱
cong 聪
cong 丛
cou 凑
cu 簇
cu 促
cuan 蹿
cui 崔
cui 摧
cui 脆
cun 寸
cuo 搓
cuo 撮
cuo 挫
da 搭
da 瘩
da 哒
dai 歹
dai 逮
dai 怠
dai 袋
dan 耽
dan 胆
dan 旦
dan 诞
dan 惮
dang 铛
dang 挡
dang 档
dao 叨
dao 祷
dao 悼
dao 蹈
de 德
deng 蹬
deng 瞪
di 嘀
di 嫡
di 抵
di 蒂
di 缔
dian 掂
dian 滇
dian 碘
dian 佃
dian 甸
diao 叼
diao 凋
diao 碉
diao 雕
ding 叮
ding 盯
ding 钉
ding 鼎
ding 锭
diu 丢
dong 董
dong 栋
dong 冻
dou 兜
dou 抖
dou 陡
dou 窦
du 嘟
du 督
du 毒
du 堵
du 赌
du 杜
duan 端
duan 锻
dui 堆
dui 兑
dun 敦
dun 蹲
dun 盹
dun 盾
duo 夺
duo 躲
duo 舵
e 讹
e 俄
e 娥
e 峨
e 扼
e 遏
er 耳
er 尔
fa 乏
fa 伐
fa 阀
fa 筏
fan 帆
fan 番
fan 翻
fan 樊
fan 凡
fan 繁
fang 芳
fang 妨
fang 肪
fang 仿
fang 访
fang 纺
fei 菲
fei 啡
fei 绯
fei 蜚
fei 腓
fei 匪
fei 吠
fen 吩
fen 氛
fen 芬
fen 酚
fen 坟
fen 焚
feng 丰
feng 峰
feng 锋
feng 蜂
feng 逢
feng 缝
fo 佛
fou 否
fu 肤
fu 孵
fu 敷
fu 拂
fu 俘
fu 氟
fu 浮
fu 符
fu 幅
fu 辐
fu 蝠
fu 抚
fu 甫
fu 辅
fu 俯
fu 釜
fu 脯
fu 腑
fu 腐
fu 赴
fu 副
fu 赋
fu 傅
fu 缚
ga 旮
ga 胳
gai 丐
gai 钙
gai 溉
gan 甘
gan 杆
gan 柑
gan 竿
gan 肝
gan 尴
gan 秆
gan 赶
gang 冈
gang 扛
gang 肛
gang 纲
gao 皋
gao 羔
gao 膏
gao 糕
gao 稿
ge 戈
ge 疙
ge 胳
ge 鸽
ge 搁
ge 阁
ge 葛
ge 隔
ge 蛤
ge 镉
geng 耕
geng 羹
geng 埂
geng 耿
geng 梗
gong 攻
gong 恭
gong 龚
gong 供
gong 巩
gong 拱
gou 勾
gou 沟
gou 钩
gou 苟
gou 垢
gou 构
gou 购
gu 咕
gu 沽
gu 姑
gu 菇
gu 辜
gu 箍
gu 股
gu 鼓
gu 固
gua 瓜
gua 呱
gua 刮
gua 寡
gua 卦
gua 褂
guai 乖
guai 拐
guan 官
guan 冠
guan 棺
guan 馆
guan 惯
guan 灌
gui 归
gui 龟
gui 闺
gui 硅
gui 瑰
gui 轨
gui 诡
gui 鬼
gui 桂
gui 柜
gun 辊
gun 滚
gun 棍
guo 郭
guo 裹
hai 亥
hai 害
han 酣
han 憨
han 邯
han 含
han 函
han 涵
han 寒
han 罕
han 旱
hang 杭
hang 航
hao 豪
hao 毫
hao 郝
hao 浩
he 禾
he 何
he 核
he 荷
he 赫
hei 黑
hen 痕
hen 狠
hen 恨
heng 恒
heng 横
heng 衡
hong 轰
hong 哄
hong 烘
hong 虹
hong 鸿
hong 宏
hong 弘
hou 喉
hou 猴
hou 吼
hu 乎
hu 呼
hu 忽
hu 狐
hu 葫
hu 糊
hu 蝴
hu 虎
hu 唬
hu 互
hu 户
hua 哗
hua 滑
hua 猾
hua 划
hua 化
huai 怀
huai 淮
huan 环
huan 缓
huan 幻
huang 荒
huang 慌
huang 皇
huang 凰
huang 惶
huang 煌
huang 晃
huang 幌
hui 灰
hui 恢
hui 挥
hui 辉
hui 徽
hui 毁
hui 悔
hui 汇
hun 昏
hun 浑
hun 魂
hun 混
huo 豁
huo 伙
ji 击
ji 圾
ji 畸
ji 箕
ji 稽
ji 激
ji 吉
ji 即
ji 急
ji 疾
ji 棘
ji 集
ji 籍
ji 挤
ji 脊
ji 忌
ji 际
ji 剂
ji 季
ji 迹
ji 既
ji 继
jia 夹
jia 嘉
jia 颊
jia 甲
jia 贾
jia 钾
jia 架
jia 驾
jia 嫁
jian 歼
jian 坚
jian 尖
jian 煎
jian 兼
jian 肩
jian 艰
jian 奸
jian 缄
jian 茧
jian 柬
jian 碱
jian 硷
jian 拣
jian 捡
jian 俭
jian 剪
jian 减
jian 荐
jian 鉴
jian 践
jian 贱
jian 键
jian 箭
jiang 浆
jiang 疆
jiang 僵
jiang 桨
jiang 匠
jiang 酱
jiang 降
jiao 郊
jiao 浇
jiao 娇
jiao 骄
jiao 胶
jiao 椒
jiao 焦
jiao 礁
jiao 嚼
jiao 佼
jiao 搅
jiao 绞
jiao 狡
jiao 饺
jiao 矫
jiao 校
jiao 较
jie 阶
jie 皆
jie 秸
jie 揭
jie 劫
jie 杰
jie 捷
jie 睫
jie 竭
jie 截
jie 借
jin 巾
jin 斤
jin 津
jin 矜
jin 筋
jin 禁
jin 襟
jin 仅
jin 尽
jin 锦
jin 谨
jin 晋
jin 浸
jin 劲
jing 茎
jing 晶
jing 鲸
jing 井
jing 颈
jing 警
jing 净
jing 径
jing 竞
jing 竟
jing 境
jing 镜
jiong 窘
jiu 纠
jiu 揪
jiu 灸
jiu 韭
jiu 臼
jiu 咎
jiu 救
ju 拘
ju 狙
ju 驹
ju 菊
ju 咀
ju 矩
ju 聚
ju 拒
ju 据
ju 巨
ju 距
ju 锯
ju 俱
juan 捐
juan 娟
juan 圈
juan 倦
juan 绢
jue 诀
jue 抉
jue 觉
jun 均
jun 菌
jun 钧
jun 君
jun 俊
jun 峻
jun 竣
jun 骏
ka 咖
ka 喀
ka 卡
kai 揩
kai 慨
kan 勘
kan 堪
kan 坎
kan 砍
kang 慷
kang 糠
kang 扛
kang 抗
kang 炕
kao 拷
kao 烤
ke 磕
ke 壳
ke 咳
ken 啃
ken 恳
ken 垦
keng 坑
keng 吭
kong 恐
kou 抠
ku 枯
ku 窟
ku 苦
kua 夸
kua 垮
kua 挎
kua 跨
kuai 筷
kuang 匡
kuang 筐
kuang 狂
kuang 框
kuang 矿
kui 亏
kui 盔
kui 窥
kui 葵
kui 魁
kui 馈
kun 坤
kun 昆
kun 捆
kuo 括
kuo 阔
la 喇
la 腊
la 蜡
lai 莱
lai 赖
lan 栏
lan 拦
lan 篮
lan 阑
lan 澜
lan 揽
lan 缆
lan 懒
lan 烂
lang 郎
lang 狼
lang 廊
lang 朗
lao 捞
lao 牢
lao 佬
lao 姥
lao 烙
le 乐
le 勒
lei 雷
lei 蕾
lei 垒
lei 泪
leng 棱
li 厘
li 狸
li 犁
li 黎
li 篱
li 礼
li 李
li 鲤
li 厉
li 丽
lian 莲
lian 廉
lian 镰
lian 练
lian 恋
liang 良
liang 梁
liang 粮
liang 粱
liang 辆
liao 辽
liao 疗
liao 僚
liao 寥
liao 撩
liao 燎
liao 料
lie 劣
lie 烈
lie 裂
lin 邻
lin 临
lin 淋
lin 琳
lin 磷
lin 鳞
lin 凛
lin 吝
ling 伶
ling 玲
ling 铃
ling 凌
ling 陵
ling 聆
ling 菱
ling 零
ling 龄
ling 岭
liu 溜
liu 刘
liu 留
liu 硫
liu 榴
long 咙
long 笼
long 隆
long 垄
long 拢
lou 搂
lou 漏
lu 卢
lu 芦
lu 庐
lu 炉
lu 虏
lu 鲁
lu 鹿
lu 露
lv 驴
lv 吕
lv 侣
lv 屡
lv 缕
lv 虑
lv 绿
luan 卵
lun 抡
lun 伦
luo 萝
luo 逻
luo 锣
luo 箩
luo 骡
luo 裸
luo 落
ma 骂
mai 埋
mai 麦
mai 迈
man 埋
man 曼
mang 芒
mang 盲
mang 茫
mang 莽
mao 矛
mao 茅
mao 茂
mao 貌
mei 眉
mei 梅
mei 煤
mei 霉
meng 蒙
meng 萌
meng 盟
meng 猛
mi 咪
mi 弥
mi 迷
mi 谜
mi 秘
mian 眠
mian 免
mian 勉
miao 苗
miao 描
miao 妙
mie 灭
min 敏
ming 鸣
ming 命
miu 谬
mo 膜
mo 摩
mo 磨
mo 魔
mo 抹
mo 墨
mou 谋
mou 某
mu 牡
mu 亩
mu 牧
mu 慕
na 纳
nai 乃
nai 耐
nan 南
nang 囊
nao 挠
nao 闹
nen 嫩
ni 尼
ni 泥
ni 逆
nie 捏
nie 聂
ning 凝
ning 拧
ning 泞
niu 扭
niu 纽
nu 奴
nu 努
nu 怒
nue 虐
nuo 挪
nuo 诺
ou 偶
pa 趴
pai 排
pan 攀
pan 判
pang 胖
pao 抛
pao 泡
pei 赔
pen 喷
pen 盆
peng 彭
peng 蓬
peng 鹏
pi 披
pi 脾
pi 屁
pian 篇
piao 飘
pie 撇
pin 拼
pin 贫
ping 苹
ping 萍
po 坡
po 泼
po 婆
pou 剖
pu 扑
pu 铺
pu 仆
pu 葡
pu 朴
qi 妻
qi 凄
qi 栖
qi 戚
qi 欺
qi 漆
qi 齐
qi 歧
qi 祈
qi 崎
qi 骑
qi 棋
qi 旗
qi 乞
qi 岂
qi 企
qi 启
qi 弃
qi 泣
qi 契
qia 掐
qia 恰
qian 迁
qian 牵
qian 铅
qian 谦
qian 签
qian 钳
qian 潜
qian 遣
qian 欠
qian 歉
qiang 枪
qiang 腔
qiang 抢
qiao 悄
qiao 敲
qiao 瞧
qiao 巧
qiao 翘
qiao 峭
qiao 窍
qie 茄
qie 怯
qin 侵
qin 秦
qin 琴
qin 勤
qin 擒
qin 寝
qing 倾
qing 晴
qing 庆
qiong 穷
qiu 丘
qiu 邱
qiu 球
qu 区
qu 曲
qu 驱
qu 屈
qu 趋
qu 渠
quan 泉
quan 拳
quan 犬
quan 劝
que 缺
que 雀
ran 燃
ran 染
rang 嚷
rao 饶
rao 扰
re 惹
ren 仁
ren 忍
rong 荣
rong 绒
rou 柔
ru 儒
ru 乳
rui 锐
run 润
ruo 若
sa 撒
sa 洒
sa 萨
sai 腮
sai 塞
san 伞
sang 桑
sang 丧
sha 纱
sha 砂
sha 傻
sha 厦
shai 筛
shai 晒
shan 删
shan 衫
shan 闪
shan 陕
shang 伤
shang 商
shang 赏
shao 烧
shao 梢
shao 稍
shao 勺
she 奢
she 舍
she 涉
she 摄
shen 申
shen 伸
shen 沈
shen 审
shen 婶
shen 渗
sheng 牲
shi 诗
shi 施
shi 石
shi 拾
shi 驶
shi 氏
shi 饰
shi 逝
shou 兽
shu 抒
shu 枢
shu 殊
shu 蔬
shu 暑
shu 署
shu 鼠
shu 述
shua 耍
shuai 衰
shuai 摔
shuan 栓
shuang 霜
shun 瞬
si 丝
si 寺
si 似
si 饲
song 耸
song 诵
song 颂
sou 搜
sou 艘
sou 嗽
su 俗
su 肃
su 素
su 宿
sui 碎
sun 损
suo 缩
suo 索
ta 塌
ta 塔
ta 踏
tai 胎
tai 台
tan 贪
tan 摊
tan 滩
tan 坛
tan 谭
tan 潭
tan 坦
tan 毯
tan 炭
tan 探
tang 唐
tang 堂
tang 塘
tang 膛
tang 倘
tao 掏
tao 涛
tao 滔
tao 逃
tao 陶
tao 淘
teng 腾
teng 藤
ti 梯
ti 踢
ti 蹄
tian 添
tian 填
tiao 挑
tie 贴
ting 亭
ting 庭
ting 艇
tong 铜
tong 童
tou 偷
tou 透
tu 凸
tu 秃
tu 徒
tu 途
tu 涂
tun 吞
tun 屯
tuo 托
tuo 拖
tuo 驮
tuo 驼
tuo 妥
wa 挖
wa 蛙
wa 娃
wa 瓦
wai 歪
wan 弯
wan 湾
wan 丸
wan 顽
wan 挽
wang 亡
wang 旺
wei 薇
wei 惟
wei 维
wei 伪
wei 尾
wei 萎
wei 畏
wei 喂
wei 慰
wei 蔚
wen 纹
wen 蚊
weng 翁
wo 窝
wo 卧
wu 乌
wu 污
wu 屋
wu 吴
wu 误
xi 夕
xi 吸
xi 析
xi 牺
xi 悉
xi 惜
xi 稀
xi 溪
xi 锡
xi 熙
xi 嘻
xi 膝
xi 袭
xi 媳
xi 戏
xia 瞎
xia 峡
xia 狭
xia 霞
xia 吓
xian 仙
xian 纤
xian 鲜
xian 贤
xian 弦
xian 咸
xian 衔
xian 嫌
xian 限
xian 宪
xian 陷
xian 羡
xian 献
xiang 乡
xiang 厢
xiang 详
xiang 祥
xiang 享
xiang 巷
xiang 项
xiang 像
xiao 削
xiao 宵
xiao 销
xiao 孝
xiao 效
xie 邪
xie 胁
xie 斜
xie 携
xie 鞋
xie 泄
xie 泻
xin 辛
xin 欣
xing 猩
xing 刑
xing 型
xing 醒
xiong 凶
xiong 匈
xiong 胸
xiong 雄
xiong 熊
xiu 修
xiu 羞
xiu 绣
xiu 袖
xu 徐
xu 叙
xu 序
xu 畜
xu 绪
xuan 玄
xuan 悬
xuan 旋
xuan 券
xuan 绚
xue 削
xue 靴
xue 穴
xun 勋
xun 熏
xun 循
xun 旬
xun 询
xun 巡
xun 迅
ya 押
ya 鸦
ya 芽
ya 崖
ya 讶
yan 咽
yan 淹
yan 延
yan 严
yan 岩
yan 沿
yan 炎
yan 研
yan 衍
yan 掩
yan 艳
yan 宴
yang 央
yang 殃
yang 秧
yang 扬
yang 杨
yang 仰
yang 氧
yang 痒
yao 妖
yao 瑶
yao 遥
yao 窑
yao 谣
yao 咬
yao 钥
ye 耶
ye 冶
yi 伊
yi 揖
yi 壹
yi 仪
yi 夷
yi 宜
yi 怡
yi 姨
yi 遗
yi 矣
yi 倚
yi 椅
yi 异
yi 役
yi 抑
yi 译
yi 易
yi 疫
yi 益
yi 谊
yin 姻
yin 殷
yin 吟
yin 淫
yin 饮
yin 隐
ying 莺
ying 婴
ying 鹰
ying 盈
ying 营
ying 蝇
ying 赢
ying 映
yong 佣
yong 拥
yong 庸
yong 咏
yong 泳
yong 勇
yong 涌
you 忧
you 悠
you 尤
you 犹
yu 迂
yu 渔
yu 愉
yu 愚
yu 舆
yu 予
yu 宇
yu 羽
yu 玉
yu 郁
yu 狱
yu 浴
yu 域
yu 欲
yu 喻
yu 御
yu 裕
yuan 冤
yuan 援
yuan 缘
yuan 源
yuan 怨
yue 岳
yue 悦
yue 阅
yue 跃
yun 匀
yun 员
yun 耘
yun 允
yun 蕴
zai 栽
zai 宰
zan 攒
zan 赞
zang 葬
zao 遭
zao 糟
zao 枣
zao 澡
zao 灶
zao 皂
ze 责
ze 择
zeng 赠
zha 渣
zha 闸
zha 眨
zha 诈
zhai 债
zhai 寨
zhan 沾
zhan 粘
zhan 展
zhan 斩
zhan 盏
zhan 崭
zhan 占
zhang 彰
zhang 樟
zhang 涨
zhang 丈
zhang 帐
zhang 仗
zhang 胀
zhang 障
zhao 昭
zhao 沼
zhao 召
zhao 兆
zhao 赵
zhe 遮
zhe 哲
zhe 辙
zhe 浙
zhen 贞
zhen 侦
zhen 珍
zhen 砧
zhen 斟
zhen 甄
zhen 诊
zhen 枕
zhen 振
zheng 争
zheng 征
zheng 挣
zheng 睁
zheng 筝
zheng 蒸
zheng 拯
zheng 整
zheng 郑
zhi 汁
zhi 芝
zhi 肢
zhi 脂
zhi 直
zhi 植
zhi 殖
zhi 旨
zhi 址
zhi 纸
zhi 帜
zhi 秩
zhi 智
zhi 置
zhong 忠
zhong 肿
zhou 舟
zhou 洲
zhou 肘
zhou 帚
zhou 宙
zhou 昼
zhu 株
zhu 蛛
zhu 竹
zhu 烛
zhu 煮
zhu 嘱
zhu 驻
zhu 柱
zhu 祝
zhu 著
zhu 筑
zhua 爪
zhuai 拽
zhuan 砖
zhuan 赚
zhuang 庄
zhuang 撞
zhui 坠
zhuo 捉
zhuo 灼
zhuo 浊
zhuo 酌
zhuo 啄
zi 兹
zi 姿
zi 滋
zi 仔
zi 籽
zi 紫
zong 宗
zong 综
zong 踪
zu 阻
zui 嘴
zun 遵
zuo 佐
zuo 做
haipa 害怕
jinzhang 紧张
pingjing 平静
buman 不满
taoyan 讨厌
dong 懂
mingbai 明白
zhidao 知道
renshi 认识
lijie 理解
xiangxin 相信
huaiyi 怀疑
juede 觉得
yiwei 以为
renwei 认为
xuanze 选择
tongyi 同意
fandui 反对
zuzhi 阻止
guanxin 关心
zhaogu 照顾
zhaogu 招呼
zhaohu 招呼
yingjie 迎接
fenbie 分别
tanhua 谈话
jiaoliu 交流
jiangshu 讲述
jieshao 介绍
tuijian 推荐
shuoming 说明
jiangjie 讲解
wanshua 玩耍
youxi 游戏
huoguo 火锅
malatang 麻辣烫
naicha 奶茶
zhaogongzuo 找工作
shangxue 上学
jiaban 加班
qingjia 请假
jiehun 结婚
lihun 离婚
fenshou 分手
hehao 和好
chaojia 吵架
dajia 打架
shuofu 说服
shangliang 商量
taolun 讨论
zhenglun 争论
bisai 比赛
jingzheng 竞争
hezuo 合作
zhidao 指导
xizao 洗澡
daban 打扮
huazhuang 化妆
jianfa 剪发
lifa 理发
xiujian 修剪
fuqian 付钱
zhaoqian 找钱
kaiche 开车
tingche 停车
daoche 倒车
chongdian 充电
luguo 路过
jingguo 经过
kanjian 看见
tingjian 听见
wenjian 闻见
pengjian 碰见
yujian 遇见
zhaodao 找到
jiandao 捡到
diushi 丢失
nongdiu 弄丢
liuxia 留下
yiwang 遗忘
jizhu 记住
xiangqilai 想起来
biancheng 变成
fasheng 发生
chuxian 出现
xiaoshi 消失
cunzai 存在
fazhan 发展
tigao 提高
jiangdi 降低
jiaqiang 加强
jianruo 减弱
kuoda 扩大
suoxiao 缩小
jiakuai 加快
fangman 放慢
kaishi 开始
jieshu 结束
wancheng 完成
jinxing 进行
tingzhi 停止
jixu 继续
yanchi 延迟
tuichi 推迟
gaibian 改变
baochi 保持
weichi 维持
jianli 建立
dajian 搭建
chaichu 拆除
weixiu 维修
baoyang 保养
genghuan 更换
shiying 适应
fuhe 符合
chaoguo 超过
dida 抵达
likai 离开
daolai 到来
chuanyue 穿越
jingguan 静观
dongtan 动弹
huodong 活动
jingshen 精神
xinqing 心情
qingxu 情绪
pilao 疲劳
jingli 精力
nengliang 能量
ganmao 感冒
fashao 发烧
kesou 咳嗽
liubi 流鼻
duziteng 肚子疼
toutong 头痛
yatong 牙痛
weidao 味道
qiwei 气味
yanjing 眼睛
bizi 鼻子
zuiba 嘴巴
erduo 耳朵
shenti 身体
shengbing 生病
kanbing 看病
chiyao 吃药
dazhen 打针
zhuyuan 住院
chuyuan 出院
yaodian 药店
shuiguo 水果
shucai 蔬菜
roulei 肉类
haixian 海鲜
yinliao 饮料
lingshi 零食
zaocan 早餐
wucan 午餐
